"Plot Title: H5"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695064)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/24/2019 09:09:10 PM,12.243,,,,
06/24/2019 10:09:10 PM,11.248,,,,
06/24/2019 11:09:10 PM,10.565,,,,
06/25/2019 12:09:10 AM,9.879,,,,
06/25/2019 01:09:10 AM,9.460,,,,
06/25/2019 02:09:10 AM,8.866,,,,
06/25/2019 03:09:10 AM,8.593,,,,
06/25/2019 04:09:10 AM,8.095,,,,
06/25/2019 05:09:10 AM,7.695,,,,
06/25/2019 06:09:10 AM,7.393,,,,
06/25/2019 07:09:10 AM,7.720,,,,
06/25/2019 08:09:10 AM,7.469,,,,
06/25/2019 09:09:10 AM,7.745,,,,
06/25/2019 10:09:10 AM,8.195,,,,
06/25/2019 11:09:10 AM,16.534,,,,
06/25/2019 12:09:10 PM,20.865,,,,
06/25/2019 01:09:10 PM,23.064,,,,
06/25/2019 02:09:10 PM,24.171,,,,
06/25/2019 03:09:10 PM,22.705,,,,
06/25/2019 04:09:10 PM,21.748,,,,
06/25/2019 05:09:10 PM,21.079,,,,
06/25/2019 06:09:10 PM,18.557,,,,
06/25/2019 07:09:10 PM,15.843,,,,
06/25/2019 08:09:10 PM,13.473,,,,
06/25/2019 09:09:10 PM,12.292,,,,
06/25/2019 10:09:10 PM,11.297,,,,
06/25/2019 11:09:10 PM,10.614,,,,
06/26/2019 12:09:10 AM,9.928,,,,
06/26/2019 01:09:10 AM,9.903,,,,
06/26/2019 02:09:10 AM,9.410,,,,
06/26/2019 03:09:10 AM,9.238,,,,
06/26/2019 04:09:10 AM,9.139,,,,
06/26/2019 05:09:10 AM,9.163,,,,
06/26/2019 06:09:10 AM,8.742,,,,
06/26/2019 07:09:10 AM,8.245,,,,
06/26/2019 08:09:10 AM,8.369,,,,
06/26/2019 09:09:10 AM,8.369,,,,
06/26/2019 10:09:10 AM,8.618,,,,
06/26/2019 11:09:10 AM,17.415,,,,
06/26/2019 12:09:10 PM,21.366,,,,
06/26/2019 01:09:10 PM,25.307,,,,
